#
# context: https://medium.com/@nusenu/towards-cleaning-up-rpki-invalids-d69b03ab8a8c
#
# columns in that order:
#-------------------------
# source (trust anchor name)
# ASN according to ROA
# prefix according to ROA
# maxLength according to ROA (not all ROAs have that field)
# INVALID reason (length or ASN mismatch)
# announcing AS
# prefix
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.237.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.238.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_ASN,AS4134,61.155.0.0/16
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.5.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.7.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.8.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.9.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.39.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.106.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.107.0/24
APNIC RPKI Root,AS23650,61.155.0.0/16,16,INVALID_LENGTH,AS23650,61.155.128.0/23
